repo_name,status,classification,openrank_07,stars,trend,language,created_at,description,topics,repo_id,forks,,notes,,,,,,,,,,,,,repo_name
danny-avila/LibreChat,new,Chatbot & Knowledge Manegement,93,28706,"[75, 86, 92, 98, 103, 97, 93]",TypeScript,2023-02-12,"Enhanced ChatGPT Clone: Features Agents, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-4o, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active project.","ai,anthropic,artifacts,aws,azure,chatgpt,chatgpt-clone,claude,clone,dall-e-3,deepseek,gemini,google,librechat,o1,openai,plugins,responses-api,vision,webui",600596928,5251,,,,,,,,,,,,,,,danny-avila/LibreChat
AstrBotDevs/AstrBot,new,Chatbot & Knowledge Manegement,73,11125,"[8, 50, 72, 79, 82, 73, 73]",Python,2022-12-08,✨ 易上手的多平台 LLM 聊天机器人及开发框架 ✨ 支持 QQ、QQ频道、Telegram、企微、飞书、钉钉 | 知识库、MCP 服务器、OpenAI、DeepSeek、Gemini、硅基流动、月之暗面、Ollama、OneAPI、Dify,"agent,ai,chatbot,chatgpt,docker,gemini,gpt,llama,llm,mcp,openai,python,qq,qqbot,qqchannel,telegram",575865240,788,,Chatbot,,,,,,,,,,,,,AstrBotDevs/AstrBot
siyuan-note/siyuan,new,Chatbot & Knowledge Manegement,65,36383,"[101, 90, 86, 86, 75, 75, 65]",TypeScript,2020-08-30,"A privacy-first, self-hosted, fully open source personal knowledge management software, written in typescript and golang.","anki,chatgpt,deepseek,electron,evernote,knowledge-base,local-first,markdown,note-taking,notes-app,notion,obsidian,ocr,ollama,openai,pdf,s3,self-hosted,webdav",291438522,2258,,,,,,,,,,,,,,,siyuan-note/siyuan
docling-project/docling,new,Chatbot & Knowledge Manegement,52,35169,"[52, 54, 53, 58, 66, 60, 52]",Python,2024-07-09,Get your documents ready for gen AI,"ai,convert,document-parser,document-parsing,documents,docx,html,markdown,pdf,pdf-converter,pdf-to-json,pdf-to-text,pptx,tables,xlsx",826168160,2386,,,,,,,,,,,,,,,docling-project/docling
Mintplex-Labs/anything-llm,new,Chatbot & Knowledge Manegement,49,47410,"[67, 85, 72, 66, 58, 49, 49]",JavaScript,2023-06-04,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, MCP compatibility,  and more.","ai-agents,custom-ai-agents,deepseek,kimi,llama3,llm,lmstudio,local-llm,localai,mcp,mcp-servers,moonshot,multimodal,no-code,ollama,qwen3,rag,vector-database,web-scraping",649170660,4833,,,,,,,,,,,,,,,Mintplex-Labs/anything-llm
apache/iceberg,-,Data Governance,132,7783,"[124, 130, 122, 132, 139, 133, 132]",Java,2018-11-19,Apache Iceberg,"apache,hacktoberfest,iceberg",158256479,2704,,,,,,,,,,,,,,,apache/iceberg
open-metadata/OpenMetadata,-,Data Governance,115,7230,"[120, 116, 118, 118, 118, 112, 115]",TypeScript,2021-08-01,"OpenMetadata is a unified metadata platform for data discovery, data observability, and data governance powered by a central metadata repository, in-depth column level lineage, and seamless team collaboration.","data-catalog,data-collaboration,data-contracts,data-discovery,data-governance,data-lineage,data-observability,data-profiling,data-quality,data-quality-checks,data-science,data-validation,datadiscovery,dataengineering,dataquality,dbt,metadata,metadata-management,snowflake",391740664,1348,,,,,,,,,,,,,,,open-metadata/OpenMetadata
datahub-project/datahub,-,Data Governance,102,10908,"[91, 95, 96, 101, 106, 100, 102]",Java,2015-11-18,The Metadata Platform for your Data and AI Stack,"data-catalog,data-discovery,data-governance,datahub,metadata",46398090,3178,,,,,,,,,,,,,,,datahub-project/datahub
apache/gravitino,-,Data Governance,78,1728,"[92, 84, 78, 79, 71, 71, 78]",Java,2023-04-23,"World's most powerful open data catalog for building a high-performance, geo-distributed and federated metadata lake.","ai-catalog,data-catalog,datalake,federated-query,lakehouse,metadata,metalake,model-catalog,opendatacatalog,skycomputing,stratosphere",631431061,541,,,,,,,,,,,,,,,apache/gravitino
delta-io/delta,-,Data Governance,69,8188,"[62, 60, 70, 73, 71, 72, 69]",Scala,2019-04-22,"An open-source storage framework that enables building a Lakehouse architecture with compute engines including Spark, PrestoDB, Flink, Trino, and Hive and APIs","acid,analytics,big-data,delta-lake,spark",182849188,1884,,,,,,,,,,,,,,,delta-io/delta
apache/paimon,-,Data Governance,68,2914,"[82, 82, 79, 83, 76, 65, 68]",Java,2022-01-12,Apache Paimon is a lake format that enables building a Realtime Lakehouse Architecture with Flink and Spark for both streaming and batch operations.,"big-data,data-ingestion,flink,paimon,real-time-analytics,spark,streaming-datalake,table-store",447060287,1196,,,,,,,,,,,,,,,apache/paimon
apache/hudi,-,Data Governance,65,5895,"[85, 84, 91, 90, 84, 74, 65]",Java,2016-12-14,"Upserts, Deletes And Incremental Processing on Big Data.","apacheflink,apachehudi,apachespark,bigdata,data-integration,datalake,hudi,incremental-processing,stream-processing",76474200,2430,,,,,,,,,,,,,,,apache/hudi
apache/airflow,-,Data Integration,323,41371,"[253, 261, 283, 307, 298, 314, 323]",Python,2015-04-13,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows","airflow,apache,apache-airflow,automation,dag,data-engineering,data-integration,data-orchestrator,data-pipelines,data-science,elt,etl,machine-learning,mlops,orchestration,python,scheduler,workflow,workflow-engine,workflow-orchestration",33884891,15405,,,,,,,,,,,,,,,apache/airflow
airbytehq/airbyte,-,Data Integration,166,19049,"[215, 208, 201, 189, 194, 176, 166]",Python,2020-07-27,"The leading data integration platform for ETL / ELT data pipelines from APIs, databases & files to data warehouses, data lakes & data lakehouses. Both self-hosted and Cloud-hosted.","bigquery,change-data-capture,data,data-analysis,data-collection,data-engineering,data-integration,data-pipeline,elt,etl,java,mssql,mysql,pipeline,postgresql,python,redshift,s3,self-hosted,snowflake",283046497,4689,,,,,,,,,,,,,,,airbytehq/airbyte
dagster-io/dagster,-,Data Integration,149,13700,"[179, 174, 169, 170, 170, 160, 149]",Python,2018-04-30,"An orchestration platform for the development, production, and observation of data assets.","analytics,dagster,data-engineering,data-integration,data-orchestrator,data-pipelines,data-science,etl,metadata,mlops,orchestration,python,scheduler,workflow,workflow-automation",131619646,1778,,,,,,,,,,,,,,,dagster-io/dagster
HumanSignal/label-studio,-,Data Labeling,79,24041,"[71, 68, 69, 76, 80, 82, 79]",JavaScript,2019-06-19,Label Studio is a multi-type data labeling and annotation tool with standardized output format,"annotation,annotation-tool,annotations,boundingbox,computer-vision,data-labeling,dataset,datasets,deep-learning,image-annotation,image-classification,image-labeling,image-labelling-tool,label-studio,labeling,labeling-tool,mlops,semantic-segmentation,text-annotation,yolo",192640529,2959,,,,,,,,,,,,,,,HumanSignal/label-studio
cvat-ai/cvat,-,Data Labeling,49,14179,"[56, 54, 55, 54, 52, 50, 49]",Python,2018-06-29,"Annotate better with CVAT, the industry-leading data engine for machine learning. Used and trusted by teams at any scale, for data of any scale.","annotation,annotation-tool,annotations,boundingbox,computer-vision,computer-vision-annotation,dataset,deep-learning,image-annotation,image-classification,image-labeling,image-labelling-tool,imagenet,labeling,labeling-tool,object-detection,pytorch,semantic-segmentation,tensorflow,video-annotation",139156354,3301,,,,,,,,,,,,,,,cvat-ai/cvat
vespa-engine/vespa,new,Data Labeling,46,6266,"[49, 53, 55, 56, 59, 48, 46]",Java,2016-06-03,"AI + Data, online. https://vespa.ai","ai,big-data,cpp,java,machine-learning,search-engine,server,serving,serving-recommendation,tensorflow,vector-search,vespa",60377070,654,,,,,,,,,,,,,,,vespa-engine/vespa
ray-project/ray,-,Distributed Compute,274,38302,"[212, 223, 236, 236, 241, 263, 274]",Python,2016-10-25,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,"data-science,deep-learning,deployment,distributed,hyperparameter-optimization,hyperparameter-search,large-language-models,llm,llm-inference,llm-serving,machine-learning,optimization,parallel,python,pytorch,ray,reinforcement-learning,rllib,serving,tensorflow",71932349,6676,,,,,,,,,,,,,,,ray-project/ray
