repo_name,status,classification,openrank_2505,stars,forks,language,created_at,description,repo_id,,,,,,,,,,,,,,,,,,
PrefectHQ/prefect,x,Data Integration,86,19548,1852,Python,2018-06-29,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,139199684,,,,,,,,,,,,,,,,,,PrefectHQ/prefect
dbt-labs/dbt-core,x,Data Integration,38,10986,1753,Python,2016-03-10,dbt enables data analysts and engineers to transform their data using the same practices that software engineers use to build applications.,53548867,,,,,,,,,,,,,,,,,,dbt-labs/dbt-core
Zipstack/unstract,x,Data Integration,34,5359,502,Python,2024-02-21,No-code LLM Platform to launch APIs and ETL Pipelines to structure unstructured documents,761150311,,,,,,,,,,,,,,,,,,Zipstack/unstract
iterative/datachain,x,Data Integration,26,2584,114,Python,2024-06-25,"ETL, Analytics, Versioning for Unstructured Data",820144741,,,,,,,,,,,,,,,,,,iterative/datachain
Unstructured-IO/unstructured,x,Data Integration,19,11529,958,HTML,2022-09-26,"Convert documents to structured data effortlessly. Unstructured is open-source ETL solution for transforming complex documents into clean, structured formats for language models.  Visit our website to learn more about our enterprise grade Platform product for production grade workflows, partitioning, enrichments, chunking and embedding.",541798154,,,,,,,,,,,,,,,,,,Unstructured-IO/unstructured
HumanSignal/label-studio,,Data Labeling,73,22561,2819,JavaScript,2019-06-19,Label Studio is a multi-type data labeling and annotation tool with standardized output format,192640529,,,,,,,,,,,,,,,,,,HumanSignal/label-studio
cvat-ai/cvat,,Data Labeling,54,13900,3260,Python,2018-06-29,"Annotate better with CVAT, the industry-leading data engine for machine learning. Used and trusted by teams at any scale, for data of any scale.",139156354,,,,,,,,,,,,,,,,,,cvat-ai/cvat
ray-project/ray,,Distributed Processing,230,37572,6438,Python,2016-10-25,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,71932349,,,,,,,,,,,,,,,,,,ray-project/ray
apache/spark,,Distributed Processing,192,41326,28615,Scala,2014-02-25,Apache Spark - A unified analytics engine for large-scale data processing,17165658,,,,,,,,,,,,,,,,,,apache/spark
volcano-sh/volcano,,Distributed Processing,39,4757,1124,Go,2019-03-14,A Cloud Native Batch System (Project under CNCF),175592968,,,,,,,,,,,,,,,,,,volcano-sh/volcano
dask/dask,x,Distributed Processing,19,13273,1774,Python,2015-01-04,Parallel computing with task scheduling,28782747,,,,,,,,,,,,,,,,,,dask/dask
open-compass/opencompass,x,Evaluation Platform,34,5523,601,Python,2023-06-15,"OpenCompass is an LLM evaluation platform, supporting a wide range of models (Llama3, Mistral, InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets.",654124617,,,,,,,,,,,,,,,,,,open-compass/opencompass
lm-sys/FastChat,x,Evaluation Platform,10,38740,4720,Python,2023-03-19,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.",615882673,,,,,,,,,,,,,,,,,,lm-sys/FastChat
camel-ai/owl,x,General Assistant,40,17056,1997,Python,2025-03-03,🦉 OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation,942114501,,,,,,,,,,,,,,,,,,camel-ai/owl
